,0,1
0,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_D02.vfy," OK
"
1,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005592-DNA_B04.vfy," OK
"
2,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_D10.vfy," OK
"
3,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_F12.vfy," OK
"
4,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_A04.vfy," OK
"
5,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005519-DNA_F06.vfy," OK
"
6,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_H03.vfy," OK
"
7,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/SS6004469.vfy," OK
"
8,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_C02.vfy," OK
"
9,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_D06.vfy," OK
"
10,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_A06.vfy," OK
"
11,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_G08.vfy," OK
"
12,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005519-DNA_B06.vfy," OK
"
13,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005519-DNA_A06.vfy," OK
"
14,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_B03.vfy," OK
"
15,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_G10.vfy," OK
"
16,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_B08.vfy," OK
"
17,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005592-DNA_D01.vfy," OK
"
18,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_H04.vfy," OK
"
19,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_F10.vfy," OK
"
20,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_G02.vfy," OK
"
21,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_A03.vfy," OK
"
22,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_A06.vfy," OK
"
23,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_C03.vfy," OK
"
24,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005619-DNA_C01.vfy," OK
"
25,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_A10.vfy," OK
"
26,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_F03.vfy," OK
"
27,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_A05.vfy," OK
"
28,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_F06.vfy," OK
"
29,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_F09.vfy," OK
"
30,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_C11.vfy," OK
"
31,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_D03.vfy," OK
"
32,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_H01.vfy," OK
"
33,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_G08.vfy," OK
"
34,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_F01.vfy," OK
"
35,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_D08.vfy," OK
"
36,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_G12.vfy," OK
"
37,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_D01.vfy," OK
"
38,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_F04.vfy," OK
"
39,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_F05.vfy," OK
"
40,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005519-DNA_E04.vfy," OK
"
41,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_A12.vfy," OK
"
42,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_E08.vfy," OK
"
43,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_H08.vfy," OK
"
44,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005592-DNA_E01.vfy," OK
"
45,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/SS6004473.vfy," OK
"
46,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005519-DNA_B05.vfy," OK
"
47,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_C01.vfy," OK
"
48,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_E04.vfy," OK
"
49,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_A12.vfy," OK
"
50,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_D08.vfy," OK
"
51,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_D01.vfy," OK
"
52,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_C02.vfy," OK
"
53,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_G04.vfy," OK
"
54,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_G05.vfy," OK
"
55,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_D02.vfy," OK
"
56,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6007068-DNA_A01.vfy," OK
"
57,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005592-DNA_B03.vfy," OK
"
58,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_B08.vfy," OK
"
59,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_F09.vfy," OK
"
60,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005519-DNA_D06.vfy," OK
"
61,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_A03.vfy," OK
"
62,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_C06.vfy," OK
"
63,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_H05.vfy," OK
"
64,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_C08.vfy," OK
"
65,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_G05.vfy," OK
"
66,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_D03.vfy," OK
"
67,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_F08.vfy," OK
"
68,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_A08.vfy," OK
"
69,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_H01.vfy," OK
"
70,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005519-DNA_F03.vfy," OK
"
71,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_F04.vfy," OK
"
72,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_E12.vfy," OK
"
73,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_B06.vfy," OK
"
74,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_E11.vfy," OK
"
75,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_B02.vfy," OK
"
76,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_C03.vfy," OK
"
77,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_D05.vfy," OK
"
78,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005592-DNA_A02.vfy," OK
"
79,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_D03.vfy," OK
"
80,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005592-DNA_C02.vfy," OK
"
81,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_B11.vfy," OK
"
82,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005519-DNA_E06.vfy," OK
"
83,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_F07.vfy," OK
"
84,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_F07.vfy," OK
"
85,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_B07.vfy," OK
"
86,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005677-DNA_F01.vfy," OK
"
87,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005519-DNA_G04.vfy," OK
"
88,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_B03.vfy," OK
"
89,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_D04.vfy," OK
"
90,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_D09.vfy," OK
"
91,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_F02.vfy," OK
"
92,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_D05.vfy," OK
"
93,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_E05.vfy," OK
"
94,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6007069-DNA_A01.vfy," OK
"
95,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_D11.vfy," OK
"
96,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_C05.vfy," OK
"
97,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/SS6004479.vfy," OK
"
98,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_E03.vfy," OK
"
99,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_F06.vfy," OK
"
100,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_B12.vfy," OK
"
101,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_G02.vfy," OK
"
102,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_H11.vfy," OK
"
103,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/SS6004471.vfy," OK
"
104,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_D07.vfy," OK
"
105,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_G11.vfy," OK
"
106,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_C07.vfy," OK
"
107,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_D02.vfy," OK
"
108,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_C10.vfy," OK
"
109,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_D04.vfy," OK
"
110,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_A11.vfy," OK
"
111,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_D08.vfy," OK
"
112,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_C04.vfy," OK
"
113,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_E09.vfy," OK
"
114,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_F01.vfy," OK
"
115,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_F04.vfy," OK
"
116,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_C10.vfy," OK
"
117,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_D09.vfy," OK
"
118,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_B07.vfy," OK
"
119,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_G01.vfy," OK
"
120,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/SS6004477.vfy," OK
"
121,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_G06.vfy," OK
"
122,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/SS6004478.vfy," OK
"
123,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_A08.vfy," OK
"
124,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_G11.vfy," OK
"
125,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_E10.vfy," OK
"
126,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005519-DNA_A05.vfy," OK
"
127,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005592-DNA_G03.vfy," OK
"
128,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_C11.vfy," OK
"
129,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_D06.vfy," OK
"
130,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_B01.vfy," OK
"
131,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_A10.vfy," OK
"
132,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_E01.vfy," OK
"
133,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_G07.vfy," OK
"
134,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_A02.vfy," OK
"
135,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_H12.vfy," OK
"
136,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005592-DNA_B02.vfy," OK
"
137,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005441-DNA_E06.vfy," OK
"
138,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005443-DNA_F11.vfy," OK
"
139,/data-sdd/forrest/keep/by_id/su92l-4zz18-ywqn26gpxtolv1x/LP6005442-DNA_D11.vfy," OK
"
