vcf,sample,status,src
LP6005442-DNA_H11.annotated.nh.vcf.gz,LP6005442-DNA_H11, OK,LP6005442-DNA_H11.vfy
LP6005442-DNA_H12.annotated.nh.vcf.gz,LP6005442-DNA_H12, OK,LP6005442-DNA_H12.vfy
LP6005443-DNA_A01.annotated.nh.vcf.gz,LP6005443-DNA_A01, OK,LP6005443-DNA_A01.vfy
LP6005443-DNA_A02.annotated.nh.vcf.gz,LP6005443-DNA_A02, OK,LP6005443-DNA_A02.vfy
LP6005443-DNA_A03.annotated.nh.vcf.gz,LP6005443-DNA_A03, OK,LP6005443-DNA_A03.vfy
LP6005443-DNA_A06.annotated.nh.vcf.gz,LP6005443-DNA_A06, OK,LP6005443-DNA_A06.vfy
LP6005443-DNA_A07.annotated.nh.vcf.gz,LP6005443-DNA_A07, OK,LP6005443-DNA_A07.vfy
LP6005443-DNA_A08.annotated.nh.vcf.gz,LP6005443-DNA_A08, OK,LP6005443-DNA_A08.vfy
LP6005443-DNA_A12.annotated.nh.vcf.gz,LP6005443-DNA_A12, OK,LP6005443-DNA_A12.vfy
LP6005443-DNA_B01.annotated.nh.vcf.gz,LP6005443-DNA_B01, OK,LP6005443-DNA_B01.vfy
LP6005443-DNA_B02.annotated.nh.vcf.gz,LP6005443-DNA_B02, OK,LP6005443-DNA_B02.vfy
LP6005443-DNA_B03.annotated.nh.vcf.gz,LP6005443-DNA_B03, OK,LP6005443-DNA_B03.vfy
LP6005443-DNA_B04.annotated.nh.vcf.gz,LP6005443-DNA_B04, OK,LP6005443-DNA_B04.vfy
LP6005443-DNA_B06.annotated.nh.vcf.gz,LP6005443-DNA_B06, OK,LP6005443-DNA_B06.vfy
LP6005443-DNA_B07.annotated.nh.vcf.gz,LP6005443-DNA_B07, OK,LP6005443-DNA_B07.vfy
LP6005443-DNA_B08.annotated.nh.vcf.gz,LP6005443-DNA_B08, OK,LP6005443-DNA_B08.vfy
LP6005443-DNA_B09.annotated.nh.vcf.gz,LP6005443-DNA_B09, OK,LP6005443-DNA_B09.vfy
LP6005443-DNA_B10.annotated.nh.vcf.gz,LP6005443-DNA_B10, OK,LP6005443-DNA_B10.vfy
LP6005443-DNA_C02.annotated.nh.vcf.gz,LP6005443-DNA_C02, OK,LP6005443-DNA_C02.vfy
LP6005443-DNA_C03.annotated.nh.vcf.gz,LP6005443-DNA_C03, OK,LP6005443-DNA_C03.vfy
LP6005443-DNA_C04.annotated.nh.vcf.gz,LP6005443-DNA_C04, OK,LP6005443-DNA_C04.vfy
LP6005443-DNA_C06.annotated.nh.vcf.gz,LP6005443-DNA_C06, OK,LP6005443-DNA_C06.vfy
LP6005443-DNA_C07.annotated.nh.vcf.gz,LP6005443-DNA_C07, OK,LP6005443-DNA_C07.vfy
LP6005443-DNA_C08.annotated.nh.vcf.gz,LP6005443-DNA_C08, OK,LP6005443-DNA_C08.vfy
LP6005443-DNA_C09.annotated.nh.vcf.gz,LP6005443-DNA_C09, OK,LP6005443-DNA_C09.vfy
LP6005443-DNA_D01.annotated.nh.vcf.gz,LP6005443-DNA_D01, OK,LP6005443-DNA_D01.vfy
LP6005443-DNA_D02.annotated.nh.vcf.gz,LP6005443-DNA_D02, OK,LP6005443-DNA_D02.vfy
LP6005443-DNA_D03.annotated.nh.vcf.gz,LP6005443-DNA_D03, OK,LP6005443-DNA_D03.vfy
LP6005443-DNA_D04.annotated.nh.vcf.gz,LP6005443-DNA_D04, OK,LP6005443-DNA_D04.vfy
LP6005443-DNA_D05.annotated.nh.vcf.gz,LP6005443-DNA_D05, OK,LP6005443-DNA_D05.vfy
LP6005443-DNA_D06.annotated.nh.vcf.gz,LP6005443-DNA_D06, OK,LP6005443-DNA_D06.vfy
LP6005443-DNA_D07.annotated.nh.vcf.gz,LP6005443-DNA_D07, OK,LP6005443-DNA_D07.vfy
LP6005443-DNA_D08.annotated.nh.vcf.gz,LP6005443-DNA_D08, OK,LP6005443-DNA_D08.vfy
LP6005443-DNA_D09.annotated.nh.vcf.gz,LP6005443-DNA_D09, OK,LP6005443-DNA_D09.vfy
LP6005443-DNA_E01.annotated.nh.vcf.gz,LP6005443-DNA_E01, OK,LP6005443-DNA_E01.vfy
LP6005443-DNA_E02.annotated.nh.vcf.gz,LP6005443-DNA_E02, OK,LP6005443-DNA_E02.vfy
LP6005443-DNA_E05.annotated.nh.vcf.gz,LP6005443-DNA_E05, OK,LP6005443-DNA_E05.vfy
LP6005443-DNA_E06.annotated.nh.vcf.gz,LP6005443-DNA_E06, OK,LP6005443-DNA_E06.vfy
LP6005443-DNA_E07.annotated.nh.vcf.gz,LP6005443-DNA_E07, OK,LP6005443-DNA_E07.vfy
LP6005443-DNA_E08.annotated.nh.vcf.gz,LP6005443-DNA_E08, OK,LP6005443-DNA_E08.vfy
LP6005443-DNA_E09.annotated.nh.vcf.gz,LP6005443-DNA_E09, OK,LP6005443-DNA_E09.vfy
LP6005443-DNA_E10.annotated.nh.vcf.gz,LP6005443-DNA_E10, OK,LP6005443-DNA_E10.vfy
LP6005443-DNA_E11.annotated.nh.vcf.gz,LP6005443-DNA_E11, OK,LP6005443-DNA_E11.vfy
LP6005443-DNA_F01.annotated.nh.vcf.gz,LP6005443-DNA_F01, OK,LP6005443-DNA_F01.vfy
LP6005443-DNA_F02.annotated.nh.vcf.gz,LP6005443-DNA_F02, OK,LP6005443-DNA_F02.vfy
LP6005443-DNA_F03.annotated.nh.vcf.gz,LP6005443-DNA_F03, OK,LP6005443-DNA_F03.vfy
LP6005443-DNA_F04.annotated.nh.vcf.gz,LP6005443-DNA_F04, OK,LP6005443-DNA_F04.vfy
LP6005443-DNA_F06.annotated.nh.vcf.gz,LP6005443-DNA_F06, OK,LP6005443-DNA_F06.vfy
LP6005443-DNA_F07.annotated.nh.vcf.gz,LP6005443-DNA_F07, OK,LP6005443-DNA_F07.vfy
LP6005443-DNA_F08.annotated.nh.vcf.gz,LP6005443-DNA_F08, OK,LP6005443-DNA_F08.vfy
LP6005443-DNA_F10.annotated.nh.vcf.gz,LP6005443-DNA_F10, OK,LP6005443-DNA_F10.vfy
LP6005443-DNA_F11.annotated.nh.vcf.gz,LP6005443-DNA_F11, OK,LP6005443-DNA_F11.vfy
LP6005443-DNA_G01.annotated.nh.vcf.gz,LP6005443-DNA_G01, OK,LP6005443-DNA_G01.vfy
LP6005443-DNA_G02.annotated.nh.vcf.gz,LP6005443-DNA_G02, OK,LP6005443-DNA_G02.vfy
LP6005443-DNA_G03.annotated.nh.vcf.gz,LP6005443-DNA_G03, OK,LP6005443-DNA_G03.vfy
LP6005443-DNA_G04.annotated.nh.vcf.gz,LP6005443-DNA_G04, OK,LP6005443-DNA_G04.vfy
LP6005443-DNA_G05.annotated.nh.vcf.gz,LP6005443-DNA_G05, OK,LP6005443-DNA_G05.vfy
LP6005443-DNA_G07.annotated.nh.vcf.gz,LP6005443-DNA_G07, OK,LP6005443-DNA_G07.vfy
LP6005443-DNA_G08.annotated.nh.vcf.gz,LP6005443-DNA_G08, OK,LP6005443-DNA_G08.vfy
LP6005443-DNA_G11.annotated.nh.vcf.gz,LP6005443-DNA_G11, OK,LP6005443-DNA_G11.vfy
LP6005443-DNA_H01.annotated.nh.vcf.gz,LP6005443-DNA_H01, OK,LP6005443-DNA_H01.vfy
LP6005443-DNA_H02.annotated.nh.vcf.gz,LP6005443-DNA_H02, OK,LP6005443-DNA_H02.vfy
LP6005443-DNA_H03.annotated.nh.vcf.gz,LP6005443-DNA_H03, OK,LP6005443-DNA_H03.vfy
LP6005443-DNA_H05.annotated.nh.vcf.gz,LP6005443-DNA_H05, OK,LP6005443-DNA_H05.vfy
LP6005443-DNA_H07.annotated.nh.vcf.gz,LP6005443-DNA_H07, OK,LP6005443-DNA_H07.vfy
LP6005443-DNA_H08.annotated.nh.vcf.gz,LP6005443-DNA_H08, OK,LP6005443-DNA_H08.vfy
LP6005443-DNA_H11.annotated.nh.vcf.gz,LP6005443-DNA_H11, OK,LP6005443-DNA_H11.vfy
LP6005519-DNA_A04.annotated.nh.vcf.gz,LP6005519-DNA_A04, OK,LP6005519-DNA_A04.vfy
LP6005519-DNA_A05.annotated.nh.vcf.gz,LP6005519-DNA_A05, OK,LP6005519-DNA_A05.vfy
LP6005519-DNA_A06.annotated.nh.vcf.gz,LP6005519-DNA_A06, OK,LP6005519-DNA_A06.vfy
LP6005519-DNA_B04.annotated.nh.vcf.gz,LP6005519-DNA_B04, OK,LP6005519-DNA_B04.vfy
LP6005519-DNA_B05.annotated.nh.vcf.gz,LP6005519-DNA_B05, OK,LP6005519-DNA_B05.vfy
LP6005519-DNA_B06.annotated.nh.vcf.gz,LP6005519-DNA_B06, OK,LP6005519-DNA_B06.vfy
LP6005519-DNA_C03.annotated.nh.vcf.gz,LP6005519-DNA_C03, OK,LP6005519-DNA_C03.vfy
LP6005519-DNA_C04.annotated.nh.vcf.gz,LP6005519-DNA_C04, OK,LP6005519-DNA_C04.vfy
LP6005519-DNA_C05.annotated.nh.vcf.gz,LP6005519-DNA_C05, OK,LP6005519-DNA_C05.vfy
LP6005519-DNA_C06.annotated.nh.vcf.gz,LP6005519-DNA_C06, OK,LP6005519-DNA_C06.vfy
LP6005519-DNA_D01.annotated.nh.vcf.gz,LP6005519-DNA_D01, OK,LP6005519-DNA_D01.vfy
LP6005519-DNA_D03.annotated.nh.vcf.gz,LP6005519-DNA_D03, OK,LP6005519-DNA_D03.vfy
LP6005519-DNA_D04.annotated.nh.vcf.gz,LP6005519-DNA_D04, OK,LP6005519-DNA_D04.vfy
LP6005519-DNA_D05.annotated.nh.vcf.gz,LP6005519-DNA_D05, OK,LP6005519-DNA_D05.vfy
LP6005519-DNA_D06.annotated.nh.vcf.gz,LP6005519-DNA_D06, OK,LP6005519-DNA_D06.vfy
LP6005519-DNA_E04.annotated.nh.vcf.gz,LP6005519-DNA_E04, OK,LP6005519-DNA_E04.vfy
LP6005519-DNA_E05.annotated.nh.vcf.gz,LP6005519-DNA_E05, OK,LP6005519-DNA_E05.vfy
LP6005519-DNA_E06.annotated.nh.vcf.gz,LP6005519-DNA_E06, OK,LP6005519-DNA_E06.vfy
LP6005519-DNA_F03.annotated.nh.vcf.gz,LP6005519-DNA_F03, OK,LP6005519-DNA_F03.vfy
LP6005519-DNA_F04.annotated.nh.vcf.gz,LP6005519-DNA_F04, OK,LP6005519-DNA_F04.vfy
LP6005519-DNA_F06.annotated.nh.vcf.gz,LP6005519-DNA_F06, OK,LP6005519-DNA_F06.vfy
LP6005519-DNA_G02.annotated.nh.vcf.gz,LP6005519-DNA_G02, OK,LP6005519-DNA_G02.vfy
LP6005519-DNA_G03.annotated.nh.vcf.gz,LP6005519-DNA_G03, OK,LP6005519-DNA_G03.vfy
LP6005519-DNA_G04.annotated.nh.vcf.gz,LP6005519-DNA_G04, OK,LP6005519-DNA_G04.vfy
LP6005519-DNA_H03.annotated.nh.vcf.gz,LP6005519-DNA_H03, OK,LP6005519-DNA_H03.vfy
LP6005519-DNA_H04.annotated.nh.vcf.gz,LP6005519-DNA_H04, OK,LP6005519-DNA_H04.vfy
LP6005592-DNA_A02.annotated.nh.vcf.gz,LP6005592-DNA_A02, OK,LP6005592-DNA_A02.vfy
LP6005592-DNA_A04.annotated.nh.vcf.gz,LP6005592-DNA_A04, OK,LP6005592-DNA_A04.vfy
LP6005592-DNA_B01.annotated.nh.vcf.gz,LP6005592-DNA_B01, OK,LP6005592-DNA_B01.vfy
LP6005592-DNA_B02.annotated.nh.vcf.gz,LP6005592-DNA_B02, OK,LP6005592-DNA_B02.vfy
LP6005592-DNA_B03.annotated.nh.vcf.gz,LP6005592-DNA_B03, OK,LP6005592-DNA_B03.vfy
LP6005592-DNA_B04.annotated.nh.vcf.gz,LP6005592-DNA_B04, OK,LP6005592-DNA_B04.vfy
LP6005592-DNA_C01.annotated.nh.vcf.gz,LP6005592-DNA_C01, OK,LP6005592-DNA_C01.vfy
LP6005592-DNA_C02.annotated.nh.vcf.gz,LP6005592-DNA_C02, OK,LP6005592-DNA_C02.vfy
LP6005592-DNA_C03.annotated.nh.vcf.gz,LP6005592-DNA_C03, OK,LP6005592-DNA_C03.vfy
LP6005592-DNA_C05.annotated.nh.vcf.gz,LP6005592-DNA_C05, OK,LP6005592-DNA_C05.vfy
LP6005592-DNA_D01.annotated.nh.vcf.gz,LP6005592-DNA_D01, OK,LP6005592-DNA_D01.vfy
LP6005592-DNA_D03.annotated.nh.vcf.gz,LP6005592-DNA_D03, OK,LP6005592-DNA_D03.vfy
LP6005592-DNA_D04.annotated.nh.vcf.gz,LP6005592-DNA_D04, OK,LP6005592-DNA_D04.vfy
LP6005592-DNA_E01.annotated.nh.vcf.gz,LP6005592-DNA_E01, OK,LP6005592-DNA_E01.vfy
LP6005592-DNA_E02.annotated.nh.vcf.gz,LP6005592-DNA_E02, OK,LP6005592-DNA_E02.vfy
LP6005592-DNA_F01.annotated.nh.vcf.gz,LP6005592-DNA_F01, OK,LP6005592-DNA_F01.vfy
LP6005592-DNA_F03.annotated.nh.vcf.gz,LP6005592-DNA_F03, OK,LP6005592-DNA_F03.vfy
LP6005592-DNA_G01.annotated.nh.vcf.gz,LP6005592-DNA_G01, OK,LP6005592-DNA_G01.vfy
LP6005592-DNA_G03.annotated.nh.vcf.gz,LP6005592-DNA_G03, OK,LP6005592-DNA_G03.vfy
LP6005592-DNA_H01.annotated.nh.vcf.gz,LP6005592-DNA_H01, OK,LP6005592-DNA_H01.vfy
LP6005592-DNA_H03.annotated.nh.vcf.gz,LP6005592-DNA_H03, OK,LP6005592-DNA_H03.vfy
LP6005619-DNA_B01.annotated.nh.vcf.gz,LP6005619-DNA_B01, OK,LP6005619-DNA_B01.vfy
LP6005619-DNA_C01.annotated.nh.vcf.gz,LP6005619-DNA_C01, OK,LP6005619-DNA_C01.vfy
LP6005677-DNA_A02.annotated.nh.vcf.gz,LP6005677-DNA_A02, OK,LP6005677-DNA_A02.vfy
LP6005677-DNA_A03.annotated.nh.vcf.gz,LP6005677-DNA_A03, OK,LP6005677-DNA_A03.vfy
LP6005677-DNA_B01.annotated.nh.vcf.gz,LP6005677-DNA_B01, OK,LP6005677-DNA_B01.vfy
LP6005677-DNA_B02.annotated.nh.vcf.gz,LP6005677-DNA_B02, OK,LP6005677-DNA_B02.vfy
LP6005677-DNA_C03.annotated.nh.vcf.gz,LP6005677-DNA_C03, OK,LP6005677-DNA_C03.vfy
LP6005677-DNA_D01.annotated.nh.vcf.gz,LP6005677-DNA_D01, OK,LP6005677-DNA_D01.vfy
LP6005677-DNA_D03.annotated.nh.vcf.gz,LP6005677-DNA_D03, OK,LP6005677-DNA_D03.vfy
LP6005677-DNA_E01.annotated.nh.vcf.gz,LP6005677-DNA_E01, OK,LP6005677-DNA_E01.vfy
LP6005677-DNA_F01.annotated.nh.vcf.gz,LP6005677-DNA_F01, OK,LP6005677-DNA_F01.vfy
LP6005677-DNA_G01.annotated.nh.vcf.gz,LP6005677-DNA_G01, OK,LP6005677-DNA_G01.vfy
LP6007068-DNA_A01.annotated.nh.vcf.gz,LP6007068-DNA_A01, OK,LP6007068-DNA_A01.vfy
LP6007069-DNA_A01.annotated.nh.vcf.gz,LP6007069-DNA_A01, OK,LP6007069-DNA_A01.vfy
SS6004467.annotated.nh.vcf.gz,SS6004467, OK,SS6004467.vfy
SS6004468.annotated.nh.vcf.gz,SS6004468, OK,SS6004468.vfy
SS6004469.annotated.nh.vcf.gz,SS6004469, OK,SS6004469.vfy
SS6004470.annotated.nh.vcf.gz,SS6004470, OK,SS6004470.vfy
SS6004471.annotated.nh.vcf.gz,SS6004471, OK,SS6004471.vfy
SS6004472.annotated.nh.vcf.gz,SS6004472, OK,SS6004472.vfy
SS6004473.annotated.nh.vcf.gz,SS6004473, OK,SS6004473.vfy
SS6004474.annotated.nh.vcf.gz,SS6004474, OK,SS6004474.vfy
SS6004475.annotated.nh.vcf.gz,SS6004475, OK,SS6004475.vfy
SS6004476.annotated.nh.vcf.gz,SS6004476, OK,SS6004476.vfy
SS6004477.annotated.nh.vcf.gz,SS6004477, OK,SS6004477.vfy
SS6004478.annotated.nh.vcf.gz,SS6004478, OK,SS6004478.vfy
SS6004479.annotated.nh.vcf.gz,SS6004479, OK,SS6004479.vfy
SS6004480.annotated.nh.vcf.gz,SS6004480, OK,SS6004480.vfy
